27,648,1320,1992,2664,3368,4008,4584,5352,5992,6712
28,680,1384,2088,2792,3496,4264,4968,5544,6200,6968
29,712,1480,2216,2984,3752,4392,5160,5992,6712,7480
30,776,1544,2344,3112,3880,4776,5544,6200,6968,7736
31,808,1608,2472,3240,4136,4968,5736,6456,7480,8248
32,840,1672,2536,3368,4264,5160,5992,6712,7736,8504
32A,904,1864,2792,3752,4584,5544,6456,7480,8248,9144
33,968,1992,2984,4008,4968,5992,6968,7992,8760,9912
33A,840,1736,2600,3496,4392,5160,5992,6968,7736,8760
33B,968,1992,2984,4008,4968,5992,6968,7992,8760,9912
34,1032,2088,3112,4264,5160,6200,7224,8504,9528,10296
34A,1064,2088,3112,4264,5352,6456,7480,8504,9528,10680
35,1096,2216,3240,4392,5544,6712,7736,8760,9912,11064
36,1160,2280,3496,4584,5736,6968,7992,9144,10296,11448
37A,1192,2408,3624,4776,5992,7224,8504,9528,10680,11832
37,1224,2472,3752,4968,6200,7480,8760,9912,11064,12384
27,7224,7992,8504,9144,9912,10680,11448,11832,12576,12960
28,7736,8504,9144,9912,10680,11064,11832,12576,13536,14112
29,8248,8760,9528,10296,11064,11832,12576,13536,14112,14688
30,8504,9528,10296,11064,11832,12576,13536,14112,14688,15840
31,9144,9912,10680,11448,12216,12960,14112,14688,15840,16416
32,9528,10296,11064,11832,12960,13536,14688,15264,16416,16992
32A,10296,11064,12216,12960,14112,14688,15840,16416,17568,18336
33,10680,11832,12960,13536,14688,15840,16992,17568,19080,19848
33A,9528,10296,11448,12216,12960,14112,14688,15840,16416,17568
33B,10680,11832,12960,13536,14688,15840,16992,17568,19080,19848
34,11448,12576,13536,14688,15840,16992,17568,19080,19848,20616
34A,11448,12576,13536,14688,15840,16992,17568,19080,19848,21384
35,12216,12960,14112,15264,16416,17568,18336,19848,20616,22152
36,12576,13536,14688,15840,16992,18336,19848,20616,22152,22920
37A,12960,14112,15840,16992,18336,19080,20616,21384,22920,23688
37,13536,14688,15840,17568,18336,19848,21384,22152,23688,24496
27,14112,14688,15264,15840,16416,16992,17568,18336,19080,19848
28,14688,15264,16416,16992,17568,18336,19080,19848,20616,21384
29,15840,16416,16992,17568,18336,19080,19848,20616,21384,22152
30,16416,16992,18336,19080,19848,20616,21384,22152,22920,23688
31,17568,18336,19080,19848,20616,21384,22152,22920,23688,24496
32,17568,19080,19848,20616,21384,22152,22920,23688,24496,25456
32A,19848,20616,21384,22152,22920,24496,25456,26416,27376,27376
33,20616,21384,22920,23688,24496,25456,26416,27376,28336,29296
33A,18336,19080,19848,20616,22152,22920,23688,24496,25456,26416
33B,20616,21384,22920,23688,24496,25456,26416,27376,28336,29296
34,22152,22920,24496,25456,26416,27376,28336,29296,30576,31704
34A,22152,22920,24496,25456,26416,27376,28336,29296,30576,31704
35,22920,24496,25456,26416,27376,28336,29296,30576,31704,32856
36,24496,25456,26416,27376,28336,29296,30576,31704,32856,34008
37A,25456,26416,27376,28336,30576,31704,32856,34008,35160,36696
37,26416,27376,28336,29296,30576,31704,32856,35160,35160,36696
27,20616,21384,22152,22920,22920,23688,24496,25456,25456,26416
28,22152,22152,22920,23688,24496,25456,26416,26416,27376,28336
29,22920,23688,24496,25456,26416,26416,27376,28336,29296,29296
30,24496,25456,25456,26416,27376,28336,29296,29296,30576,31704
31,25456,26416,27376,28336,29296,29296,30576,31704,31704,32856
32,26416,27376,28336,29296,29296,30576,31704,32856,32856,34008
32A,28336,29296,30576,31704,32856,32856,34008,35160,36696,36696
33,30576,31704,32856,34008,35160,35160,36696,37888,39232,39232
33A,27376,27376,29296,29296,30576,30576,31704,32856,34008,35160
33B,30576,31704,32856,34008,35160,35160,36696,37888,39232,39232
34,32856,34008,35160,35160,36696,37888,39232,39232,40576,42368
34A,32856,34008,35160,35160,36696,37888,39232,40576,40576,42368
35,34008,35160,36696,37888,37888,39232,40576,42368,42368,43816
36,35160,36696,37888,39232,40576,40576,42368,43816,45352,45352
37A,36696,37888,39232,40576,42368,43816,43816,45352,46888,48936
37,37888,39232,40576,42368,43816,43816,45352,46888,48936,48936
27,27376,27376,28336,29296,29296,30576,31704,31704,32856,32856
28,29296,29296,30576,30576,31704,32856,32856,34008,34008,35160
29,30576,31704,31704,32856,34008,34008,35160,35160,36696,36696
30,31704,32856,34008,34008,35160,36696,36696,37888,37888,39232
31,34008,35160,35160,36696,36696,37888,39232,39232,40576,40576
32,35160,35160,36696,37888,37888,39232,40576,40576,42368,42368
32A,37888,39232,40576,40576,42368,42368,43816,43816,45352,46888
33,40576,40576,42368,43816,43816,45352,46888,46888,48936,48936
33A,35160,36696,36696,37888,39232,40576,40576,40576,42368,43816
33B,40576,40576,42368,43816,43816,45352,46888,46888,48936,48936
34,42368,43816,45352,46888,46888,48936,48936,51024,51024,52752
34A,43816,43816,45352,46888,46888,48936,48936,51024,51024,52752
35,45352,46888,46888,48936,48936,51024,51024,52752,52752,55056
36,46888,48936,48936,51024,51024,52752,55056,55056,57336,57336
37A,48936,51024,51024,52752,55056,55056,57336,57336,59256,59256
37,51024,52752,52752,55056,55056,57336,57336,59256,61664,61664
27,34008,34008,35160,35160,36696,36696,37888,37888,39232,39232
28,35160,36696,36696,37888,39232,39232,40576,40576,42368,42368
29,37888,39232,39232,40576,40576,42368,42368,43816,43816,45352
30,40576,40576,42368,42368,43816,43816,45352,45352,46888,46888
31,42368,42368,43816,45352,45352,46888,46888,46888,48936,48936
32,43816,43816,45352,46888,46888,46888,48936,48936,51024,51024
32A,46888,48936,48936,51024,51024,52752,52752,52752,55056,55056
33,51024,51024,52752,52752,55056,55056,57336,57336,59256,59256
33A,43816,45352,45352,46888,48936,48936,48936,51024,51024,52752
